File,ArraySize,Repetitions,Timsort_Avg,Timsort_StdDev,Timsort_Normalized,Powersort_Avg,Powersort_StdDev,Powersort_Normalized,valid_instance
../TrackA/186,1033500,1000,30004.4,1009.43,0.00145311,31235.2,827.535,0.00151272,true
../TrackA/19,1025,1000,74.003,3.21618,0.00721879,75.0458,4.32401,0.00732051,true
../TrackA/26,71,1000,2.31348,0.0417761,0.00529848,2.35346,0.225922,0.00539003,true
../TrackA/8,69,1000,2.75272,0.849869,0.00653095,2.63068,0.0441705,0.00624141,true
../TrackA/181,1027000,1000,30957.1,842.349,0.00150943,30836.7,834.273,0.00150355,true
../TrackA/175,10000,1000,171.182,28.9889,0.00128827,153.35,25.7146,0.00115407,true
../TrackA/21,1025,1000,75.0989,5.89217,0.0073257,74.9461,4.65279,0.00731078,true
../TrackA/75,4232,1000,357.366,23.2964,0.00700946,356.485,20.9286,0.00699217,true
../TrackA/81,10880,1000,95.9443,6.15831,0.000657629,96.9956,7.86574,0.000664836,true
../TrackA/121,10304,1000,202.494,12.9489,0.00147416,201.926,29.9924,0.00147003,true
../TrackA/119,198,1000,2.04591,0.129011,0.00135436,1.84188,0.0474818,0.00121929,true
../TrackA/86,1183,1000,10.5806,0.566332,0.000876145,10.3164,0.958307,0.000854263,true
../TrackA/72,640,1000,5.30952,0.103072,0.000889959,5.73525,0.352841,0.000961317,true
../TrackA/126,10205,1000,213.051,42.1637,0.00156771,200.197,31.6705,0.00147312,true
../TrackA/44,9,1000,0.100387,0.0220376,0.00351873,0.097451,0.0198218,0.00341582,true
../TrackA/110,139,1000,3.253,2.00763,0.00328741,3.26806,0.183089,0.00330263,true
../TrackA/43,384,1000,2.20432,0.0709425,0.000668659,2.2903,0.926958,0.000694739,true
../TrackA/128,10205,1000,229.72,60.1705,0.00169036,219.92,59.574,0.00161825,true
../TrackA/88,179,1000,3.42308,0.541238,0.0025553,3.08283,0.591862,0.0023013,true
../TrackA/117,395,1000,4.70568,3.03955,0.00138112,4.58206,2.84434,0.00134484,true
../TrackA/198,1081311,1000,19726.8,1970.54,0.000910153,12483.4,446.911,0.000575957,true
../TrackA/153,1183000,1000,10208.2,541.326,0.00042773,9769.83,373.057,0.000409364,true
../TrackA/38,1000004,1000,2614.4,83.8769,0.000131168,2629.9,103.451,0.000131946,true
../TrackA/154,10205,1000,321.656,45.254,0.00236686,289.163,52.1708,0.00212777,true
../TrackA/36,1000003,1000,2631.63,108.136,0.000132033,2705.11,234.241,0.000135719,true
../TrackA/196,8415,1000,147.02,85.4589,0.00133995,94.5311,39.4969,0.000861558,true
../TrackA/162,647,1000,7.02089,3.30097,0.00116212,5.66051,0.0832261,0.000936946,true
../TrackA/31,10000,1000,992.945,106.053,0.00747265,990.921,71.4385,0.00745742,true
../TrackA/165,1053000,1000,25684.9,880.987,0.00121924,25562.8,2179.58,0.00121344,true
../TrackA/191,387,1000,3.10163,1.3736,0.000932337,2.40407,0.175983,0.000722654,true
../TrackA/131,10855,1000,242.157,49.4772,0.00166404,227.001,46.8467,0.0015599,true
../TrackA/91,221,1000,6.44507,3.04229,0.00374468,5.84954,0.231591,0.00339867,true
../TrackA/65,10000,1000,683.611,57.1222,0.00514468,699.956,44.0187,0.00526769,true
../TrackA/136,10595,1000,222.129,46.4341,0.00156797,220.571,100.615,0.00155697,true
../TrackA/62,1000,1000,36.6521,5.05439,0.0036778,38.283,8.16335,0.00384145,true
../TrackA/96,22041,1000,2238.9,117.014,0.00704044,2256.56,106.064,0.00709597,true
../TrackA/109,138,1000,3.45599,0.0562677,0.00352301,3.20978,0.403601,0.00327202,true
../TrackA/100,2,1000,0.029876,0.0193229,0.014938,0.031465,0.018405,0.0157325,true
../TrackA/54,5,1000,0.053697,0.0194389,0.00462521,0.053615,0.0189548,0.00461814,true
../TrackA/107,130,1000,2.5309,0.213087,0.00277235,2.81151,0.30855,0.00307973,true
../TrackA/98,20000,1000,1869.96,166.296,0.00654393,1825.61,149.992,0.00638873,true
../TrackA/138,10400,1000,220.297,35.1824,0.00158738,212.978,31.0358,0.00153464,true
../TrackA/53,640,1000,5.58666,0.666913,0.000936411,6.34453,1.92511,0.00106344,true
../TrackA/30,1025,1000,77.4406,9.26761,0.00755412,78.1177,22.8206,0.00762017,true
../TrackA/190,458,1000,3.96249,0.680952,0.000978791,3.55429,0.633724,0.000877959,true
../TrackA/164,1351680,1000,11642.2,520.626,0.00042291,10147.9,438.408,0.000368628,true
../TrackA/37,1000004,1000,2649.74,146.834,0.000132941,2618.36,82.6209,0.000131367,true
../TrackA/163,1081600,1000,7597.27,369.354,0.000350421,6625.53,322.348,0.0003056,true
../TrackA/197,540639,1000,9469.58,528.539,0.000919726,6286.27,328.422,0.000610549,true
../TrackA/155,231,1000,6.28292,1.00695,0.00346404,6.09354,0.332246,0.00335963,true
../TrackA/199,1081311,1000,18616.4,805.684,0.000858922,13469.5,2529.61,0.000621454,true
../TrackA/39,1000005,1000,2830.06,303.957,0.000141988,2691.3,163.862,0.000135026,true
